"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"956","@ObamaMalik you're amazing &amp; hey WE got Trump Yeah @realDonaldTrump",FALSE,0,"ObamaMalik",2016-12-09 17:58:12,FALSE,"807282645189218305","807283219401949185","324236072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guthrie_kelley",0,FALSE,FALSE,NA,NA
"957","RT @TeamTrump: '@realDonaldTrump: Safety and Security of Americans Comes First' #AmericaFirst
https://t.co/ZagK47kACZ",FALSE,0,NA,2016-12-09 17:58:12,FALSE,NA,"807283219066454016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jld423",205,TRUE,FALSE,NA,NA
"958","Trump has never apologized. @realDonaldTrump https://t.co/jmkJBEHPpx",FALSE,0,NA,2016-12-09 17:58:08,FALSE,NA,"807283202062766080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biblioteq_tress",2,FALSE,FALSE,NA,NA
"959","RT @carsquayrd: @baratunde @realDonaldTrump trump, really? media's fault; own up to the FACT that you've lied so much you can't even keep t…",FALSE,0,NA,2016-12-09 17:58:05,FALSE,NA,"807283189169328128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mylikeself",1,TRUE,FALSE,NA,NA
"960","@Missy10013Kathy @DavidWGibson @realDonaldTrump @MittRomney Trump is allowing the estab swamp creatures into his safe circle. I'm worried <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8>",FALSE,1,"Missy10013Kathy",2016-12-09 17:58:00,FALSE,"807271550290251776","807283169644847104","792579313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeannaEckert",0,FALSE,FALSE,NA,NA
"961","RT @BradenCatalani: @GeraldoRivera @realDonaldTrump who takes Geraldo seriously anymore? Last week he defended Castro now he claims Putin p…",FALSE,0,NA,2016-12-09 17:57:59,FALSE,NA,"807283164318232577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jcali56451",0,TRUE,FALSE,NA,NA
"962","Zapanta, tops for @realDonaldTrump Mexico ambassador, is in touch with Donald Trump Jr. and @StephenBannon  https://t.co/X8plBvwerQ",FALSE,0,NA,2016-12-09 17:57:56,FALSE,NA,"807283152670621698",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PowerPost",1,FALSE,FALSE,NA,NA
"963","Vice-President Biden doubts @realDonaldTrump can undo much of the administration's environmental record https://t.co/QDhyhlIO5W",FALSE,0,NA,2016-12-09 17:57:56,FALSE,NA,"807283152578351105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","reutersLjungg",0,FALSE,FALSE,NA,NA
"964","RT @steph93065: Why I am a Trump Supporter...
@realDonaldTrump 
#Trump2016 https://t.co/L4x4udy63J",FALSE,0,NA,2016-12-09 17:57:56,FALSE,NA,"807283149507989504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarterReed11",37317,TRUE,FALSE,NA,NA
"965","@realDonaldTrump 

Dear Mr Trump, 
Overjoyed you won. Please listen to a song I wrote for you. https://t.co/5CCCuaLC1v     Mike Stockwell",FALSE,0,"realDonaldTrump",2016-12-09 17:57:53,FALSE,NA,"807283137873117185","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michaelstockwe3",0,FALSE,FALSE,NA,NA
"966","RT @SheriffClarke: I have had many achievements in life but none more satisfying than helping @realDonaldTrump become the 45th President of…",FALSE,0,NA,2016-12-09 17:57:51,FALSE,NA,"807283128825847808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CA_LOVES_TRUMP",18314,TRUE,FALSE,NA,NA
"967","@MakkaCha @TimeLordJeff @now7grandkids @Green_Footballs @realDonaldTrump @USATODAY Nothing hurt Trump. People convinced he was the saviour.",FALSE,0,"MakkaCha",2016-12-09 17:57:50,FALSE,"807268763414528001","807283128112812032","154436404","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dbarcon",0,FALSE,FALSE,NA,NA
"968","@WeTheUSMajority @ann_cannon @TomthunkitsMind @SocialCivility @realDonaldTrump @exxonmobil Moron, No Trump / Russia connection.",FALSE,0,"WeTheUSMajority",2016-12-09 17:57:49,FALSE,"807217430766428160","807283122949816320","804792545888837635","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EllenBurt18",0,FALSE,FALSE,NA,NA
"969","RT @HumaneArtists: .@CWAUnion @AFTunion @unitehere @UAW @realDonaldTrump says @Carrier workers should have worked harder https://t.co/6SFbq…",FALSE,0,NA,2016-12-09 17:57:48,FALSE,NA,"807283117731954688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nickjaine",22,TRUE,FALSE,NA,NA
"970","RT @bradbainum: Part of the at least $650,000,000 @realDonaldTrump owes in debt is owed to Goldman Sachs. https://t.co/MRGMYKpnDi",FALSE,0,NA,2016-12-09 17:57:46,FALSE,NA,"807283110912135168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lochelle1",43,TRUE,FALSE,NA,NA
"971","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: http…",FALSE,0,NA,2016-12-09 17:57:39,FALSE,NA,"807283080084000768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danmabtaylor",5266,TRUE,FALSE,NA,NA
"972","@realDonaldTrump man who beat the odds - feels gr8 to be living in the Era of ""Trump movement"" !",FALSE,0,"realDonaldTrump",2016-12-09 17:57:38,FALSE,NA,"807283076749520896","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HumbledCitizen",0,FALSE,FALSE,NA,NA
"973","RT @Tennesseine: Perfect summary of @realDonaldTrump and his cronies. #Trump is a conman and his supporters are his marks. #Deplorables are…",FALSE,0,NA,2016-12-09 17:57:36,FALSE,NA,"807283067115094016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scapenighter",1,TRUE,FALSE,NA,NA
"974","RT @TeamTrump: '@realDonaldTrump: Safety and Security of Americans Comes First' #AmericaFirst
https://t.co/ZagK47kACZ",FALSE,0,NA,2016-12-09 17:57:30,FALSE,NA,"807283040229720065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RuggAlan",205,TRUE,FALSE,NA,NA
"975","RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/26S…",FALSE,0,NA,2016-12-09 17:57:26,FALSE,NA,"807283026904444928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceruiti",5,TRUE,FALSE,NA,NA
"976","@realDonaldTrump supporters in flyover states-He attacked a union leader. Feeling good about him? https://t.co/NcG2uOzyTV via @thedailybeast",FALSE,0,"realDonaldTrump",2016-12-09 17:57:26,FALSE,NA,"807283023452323840","25073877","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jamieheston",0,FALSE,FALSE,NA,NA
"977","RT @JoeBeertap: Merry Christmas &amp; Happy Hanukkah from the Trump family!

Best,
@realDonaldTrump
@EricTrump

#DictatedNotRead
#NotReallyFrom…",FALSE,0,NA,2016-12-09 17:57:25,FALSE,NA,"807283021544034304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dnmbella",4,TRUE,FALSE,NA,NA
"978",".@GregHilburn1 @realDonaldTrump Obama goes to church regularly. Trump doesn't. There's no profit to be made.",FALSE,0,"GregHilburn1",2016-12-09 17:57:20,FALSE,"807279275665661952","807283000111202304","1244139462","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mokojumbee",0,FALSE,FALSE,NA,NA
"979","RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/26S…",FALSE,0,NA,2016-12-09 17:57:18,FALSE,NA,"807282991663874048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThereseSwann",5,TRUE,FALSE,NA,NA
"980","@realDonaldTrump @Reince @KellyannePolls ATTENTION TRUMP TEAM. Time to do something about Rogue Electors. They are… https://t.co/2q54ZOgSLy",FALSE,0,"realDonaldTrump",2016-12-09 17:57:17,TRUE,NA,"807282987607826432","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realDocRyan",0,FALSE,FALSE,NA,NA
"981","@DrJillStein @realDonaldTrump Now youre blaming Trump who have never been in Office, #GoHomeLoser #NeverGreenParty",FALSE,1,"DrJillStein",2016-12-09 17:57:16,FALSE,"807238695736713216","807282984982315008","111216929","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kitten_Punch",0,FALSE,FALSE,NA,NA
"982","that's because @realdonaldtrump would not know intelligence if it stepped on him https://t.co/zRLUqVGE84",FALSE,0,NA,2016-12-09 17:57:08,FALSE,NA,"807282950224146433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Donsacon",0,FALSE,FALSE,NA,NA
"983","RT @Jeffhull71: .@realDonaldTrump  pays his own businesses $3 million in days surrounding election #ethics #morals #draintheswamp  https://…",FALSE,0,NA,2016-12-09 17:56:54,FALSE,NA,"807282890925101056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","grungepup",3,TRUE,FALSE,NA,NA
"984","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: http…",FALSE,0,NA,2016-12-09 17:56:54,FALSE,NA,"807282889222197250",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cncprogrammer1",5266,TRUE,FALSE,NA,NA
"985","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: http…",FALSE,0,NA,2016-12-09 17:56:52,FALSE,NA,"807282881668194304",NA,"<a href=""https://github.com/TwidereProject/Twidere-Android/"" rel=""nofollow"">Twidere for Android #5</a>","zzbrom",5266,TRUE,FALSE,NA,NA
"986","RT @guidossss: Donald Trump and the art of getting it done - Washington Times @paulasul1414 @realDonaldTrump @KellyannePolls #MAGA  https:/…",FALSE,0,NA,2016-12-09 17:56:50,FALSE,NA,"807282874038763522",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulasul1414",1,TRUE,FALSE,NA,NA
"987","RT @realDonaldTrump: Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: http…",FALSE,0,NA,2016-12-09 17:56:48,FALSE,NA,"807282865226452992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bubusmaw",5266,TRUE,FALSE,NA,NA
"988","@MSNBC ""He spoke about draining the #DC swamp, but now there are more crocodiles in there than ever before."" @realDonaldTrump #Trump",FALSE,1,"MSNBC",2016-12-09 17:56:43,FALSE,NA,"807282843948904448","2836421","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LAKarenLoftus",0,FALSE,FALSE,NA,NA
"989","Stay healthy everybody! Eat your vegetables, drink plenty of water, and take at least one good Trump every day. Fun… https://t.co/8HHXGTfDYq",FALSE,0,NA,2016-12-09 17:56:40,TRUE,NA,"807282833844793344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","agoge_warrior",0,FALSE,FALSE,NA,NA
"990","RT @LouDobbs: Establishment Defies @realDonaldTrump on Immigration https://t.co/Vn0fQBBcBV #MAGA #AmericaFirst #DraintheSwamp #Dobbs",FALSE,0,NA,2016-12-09 17:56:40,FALSE,NA,"807282832301314048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrisbrow17",163,TRUE,FALSE,NA,NA
"991","@realDonaldTrump MR Trump here is multi million $ defamation suit for you  https://t.co/3ixLHQbzu8 the kid needs your help",FALSE,0,"realDonaldTrump",2016-12-09 17:56:37,FALSE,NA,"807282819013738496","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FoodSnoop01",0,FALSE,FALSE,NA,NA
"992","RT @JohnKennedyLA: .@realDonaldTrump will be in Baton Rouge at 12 to support our campaign! Y'all get your free ticket &amp; join us https://t.c…",FALSE,0,NA,2016-12-09 17:56:28,FALSE,NA,"807282780031721472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JacobDanielsOR",9,TRUE,FALSE,NA,NA
